text,label
Not in the mood for anything.,mild
Feeling low but hanging in there.,mild
Another boring day...,mild
I wish I could disappear.,severe
There’s no point in anything.,severe
"Not sure what's wrong, just sad.",mild
I can’t take this anymore.,severe
Had a productive day at work.,normal
Nothing matters anymore.,severe
I feel so alone and hopeless.,severe
I don't want to wake up tomorrow.,severe
Had a productive day at work.,normal
Everything is falling apart.,severe
Everything is falling apart.,severe
I love how things are going lately.,normal
Another boring day...,mild
Everything feels a bit heavy.,mild
There’s no point in anything.,severe
Life feels a little gray lately.,mild
Another boring day...,mild
I cry myself to sleep every night.,severe
Why does it hurt so much just to be alive?,severe
Everything is falling apart.,severe
Wish I could stay in bed forever.,mild
Another boring day...,mild
I love how things are going lately.,normal
I don’t feel like talking to anyone.,mild
Had a productive day at work.,normal
Just enjoyed a long walk in the park.,normal
Wish I could stay in bed forever.,mild
I love how things are going lately.,normal
I feel so alone and hopeless.,severe
Just enjoyed a long walk in the park.,normal
I can’t take this anymore.,severe
Everything feels a bit heavy.,mild
I feel so alone and hopeless.,severe
Had a productive day at work.,normal
I don't want to wake up tomorrow.,severe
"Trying to stay positive, but it's hard.",mild
Life feels a little gray lately.,mild
Looking forward to the weekend.,normal
Wish I could stay in bed forever.,mild
Looking forward to the weekend.,normal
Just enjoyed a long walk in the park.,normal
Grateful for my family and health.,normal
Everything feels a bit heavy.,mild
"Not sure what's wrong, just sad.",mild
Feeling low but hanging in there.,mild
Nothing matters anymore.,severe
I cry myself to sleep every night.,severe
I love how things are going lately.,normal
Life is beautiful.,normal
I don’t feel like talking to anyone.,mild
Nothing matters anymore.,severe
Another boring day...,mild
Spending time with friends is the best therapy.,normal
Wish I could stay in bed forever.,mild
Wish I could stay in bed forever.,mild
I can’t take this anymore.,severe
Spending time with friends is the best therapy.,normal
There’s no point in anything.,severe
It feels like I'm drowning in sadness.,severe
I wish I could disappear.,severe
I can’t take this anymore.,severe
Looking forward to the weekend.,normal
It feels like I'm drowning in sadness.,severe
I don't want to wake up tomorrow.,severe
Feeling good and motivated.,normal
I can’t take this anymore.,severe
I cry myself to sleep every night.,severe
Not in the mood for anything.,mild
I don’t feel like talking to anyone.,mild
Just enjoyed a long walk in the park.,normal
Feeling good and motivated.,normal
Nothing matters anymore.,severe
"Not sure what's wrong, just sad.",mild
Had a productive day at work.,normal
Not in the mood for anything.,mild
I cry myself to sleep every night.,severe
Feeling kind of down today.,mild
I don’t feel like talking to anyone.,mild
I can’t take this anymore.,severe
Feeling kind of down today.,mild
Life is beautiful.,normal
I cry myself to sleep every night.,severe
Nothing matters anymore.,severe
I don't want to wake up tomorrow.,severe
Why does it hurt so much just to be alive?,severe
Another boring day...,mild
"Not sure what's wrong, just sad.",mild
I had a great day today!,normal
Life feels a little gray lately.,mild
Feeling kind of down today.,mild
Feeling good and motivated.,normal
"Not sure what's wrong, just sad.",mild
Grateful for my family and health.,normal
I cry myself to sleep every night.,severe
I can’t take this anymore.,severe
Nothing matters anymore.,severe
Grateful for my family and health.,normal
Nothing matters anymore.,severe
I love how things are going lately.,normal
Had a productive day at work.,normal
Spending time with friends is the best therapy.,normal
It feels like I'm drowning in sadness.,severe
Looking forward to the weekend.,normal
Excited about my new project!,normal
Life is beautiful.,normal
There’s no point in anything.,severe
Looking forward to the weekend.,normal
Feeling kind of down today.,mild
I had a great day today!,normal
Life is beautiful.,normal
Spending time with friends is the best therapy.,normal
"Not sure what's wrong, just sad.",mild
"Trying to stay positive, but it's hard.",mild
Not in the mood for anything.,mild
I cry myself to sleep every night.,severe
Nothing matters anymore.,severe
Not in the mood for anything.,mild
I feel so alone and hopeless.,severe
Spending time with friends is the best therapy.,normal
I don't want to wake up tomorrow.,severe
I wish I could disappear.,severe
Excited about my new project!,normal
Another boring day...,mild
"Not sure what's wrong, just sad.",mild
Feeling low but hanging in there.,mild
"Not sure what's wrong, just sad.",mild
I cry myself to sleep every night.,severe
Feeling good and motivated.,normal
Grateful for my family and health.,normal
Spending time with friends is the best therapy.,normal
I cry myself to sleep every night.,severe
I don’t feel like talking to anyone.,mild
I had a great day today!,normal
Excited about my new project!,normal
Looking forward to the weekend.,normal
Wish I could stay in bed forever.,mild
Everything feels a bit heavy.,mild
It feels like I'm drowning in sadness.,severe
It feels like I'm drowning in sadness.,severe
Not in the mood for anything.,mild
Life feels a little gray lately.,mild
Feeling kind of down today.,mild
Wish I could stay in bed forever.,mild
There’s no point in anything.,severe
I love how things are going lately.,normal
Excited about my new project!,normal
Looking forward to the weekend.,normal
Why does it hurt so much just to be alive?,severe
Nothing matters anymore.,severe
I love how things are going lately.,normal
Excited about my new project!,normal
Spending time with friends is the best therapy.,normal
It feels like I'm drowning in sadness.,severe
Not in the mood for anything.,mild
I love how things are going lately.,normal
Why does it hurt so much just to be alive?,severe
Spending time with friends is the best therapy.,normal
I cry myself to sleep every night.,severe
Had a productive day at work.,normal
Feeling kind of down today.,mild
Feeling low but hanging in there.,mild
I don’t feel like talking to anyone.,mild
I wish I could disappear.,severe
I can’t take this anymore.,severe
Feeling low but hanging in there.,mild
It feels like I'm drowning in sadness.,severe
Grateful for my family and health.,normal
"Trying to stay positive, but it's hard.",mild
I can’t take this anymore.,severe
Excited about my new project!,normal
I cry myself to sleep every night.,severe
I feel so alone and hopeless.,severe
I don't want to wake up tomorrow.,severe
I had a great day today!,normal
I love how things are going lately.,normal
